AddressInfo.Latitude,AddressInfo.Longitude,AddressInfo.Title,CurrentType.Title,Provincie
52.08956879970452,5.137197575874552,Van der Duijnstraat,,Utrecht
52.09016646756268,5.138294360708983,Prinsenstraat,,Utrecht
51.921616,5.603749,IONITY Overbroek,DC,Gelderland
52.014598,5.122174,IONITY De Knoest,DC,Utrecht
52.1791,5.984281,IONITY Apeldoorn-Zuid,DC,Gelderland
52.61466842977481,4.73974268657912,Shell Kooimeer,DC,Noord-Holland
52.06609674140043,4.740941524163732,Fastned Bodegraven,DC,Zuid-Holland
51.71331874026589,5.3244017626710445,Derde Haren 2,AC (Three-Phase),Noord-Brabant
51.71687118302072,5.326481719329422,Manis Krijgsmanhof 176,AC (Three-Phase),Noord-Brabant
52.35696655643656,4.904728043048863,Amsteldijk 707,AC (Three-Phase),Noord-Holland
51.62212023200124,5.014121586034207,Pastoor Kampstraat,AC (Three-Phase),Noord-Brabant
52.15484297040098,6.201007564910242,Handelskade,DC,Gelderland
52.2209165058091,4.531349788212651,Kagerdreef 90,AC (Three-Phase),Zuid-Holland
51.4117,6.1678,Pap,,Limburg
52.04224240470472,5.665900546495209,Parelstraat 12,AC (Three-Phase),Gelderland
52.39935783211084,6.783781252681251,Hendriksen Accountants,AC (Three-Phase),Overijssel
51.74455131475028,4.91804792074322,Shell Recharge,DC,Noord-Brabant
51.834832,4.618082,IONITY Sandelingen West,DC,Zuid-Holland
51.626778,4.870164,IONITY Oosterhout,DC,Noord-Brabant
52.066539,4.738413,IONITY Bodegraven,DC,Zuid-Holland
52.014276,5.119229,IONITY De Kroon,DC,Utrecht
52.184387,5.670553,IONITY Tolnegen Noord,DC,Gelderland
51.503064,5.414372,IONITY Best,,Noord-Brabant
53.092833955052896,6.686966293022351,De Brink,AC (Three-Phase),Drenthe
53.07778991690341,6.699140666223229,Coop Parking Lot ,AC (Three-Phase),Drenthe
52.30521415057004,4.693212235237297,Marktplein,AC (Three-Phase),Noord-Holland
52.14141141493823,5.567445005043965,EVBox fastcharger,DC,Gelderland
51.49369149242824,3.881460649445785, AVIA de Poel - Goes,AC (Single-Phase),Zeeland
52.49450730013044,6.122473470318141,Ab en van de Schelde Nissan dealer,DC,Overijssel
52.49450730013044,6.122473470318141,Ab en van de Schelde Nissan dealer,DC,Overijssel
52.06503590109799,4.329579515997125,Van Musschenbroekstraat,AC (Three-Phase),Zuid-Holland
51.899517,4.982968,Meerkerk Supercharger,DC,Zuid-Holland
52.12049127,5.03869943,Carlton President Hotel,AC (Three-Phase),Utrecht
51.43980039968272,5.40194946392603,Waterfront,AC (Three-Phase),Noord-Brabant
51.4355498644729,5.395050952476026,4 charge points Waterrijk,AC (Three-Phase),Noord-Brabant
52.525242027120925,6.070279269660773,Rosariumstraat,,Overijssel
52.59565598875008,4.709053203057465,Willibrordus Business Center,AC (Three-Phase),Noord-Holland
52.271121182830655,4.69533813882299,Dcb energy hub Schiphol,DC,Noord-Holland
52.039305597053925,5.550275138520533,Flitsmeister,AC (Single-Phase),Utrecht
52.03925546403201,5.550582310882078,24 Landjuweel,AC (Three-Phase),Utrecht
53.169567,6.852949,Zuidbroek,DC,Groningen
51.590606301790416,3.6629008999134394,Parking banjaardstrand,AC (Three-Phase),Zeeland
